source_city,dest_city,source_lat,source_lon,dest_lat,dest_lon,distance,weight,priority,delivery_days,delay
Kolkata,Pune,22.5726,88.3639,18.5204,73.8567,1575.3760535945123,33.329525595213084,medium,5.2,1
Bangalore,Mumbai,12.9716,77.5946,19.076,72.8777,845.3183856559485,19.208051050214113,high,3.61,1
Ahmedabad,Surat,23.0225,72.5714,21.1702,72.8311,207.69677867075882,38.57126227973259,low,3.79,1
Jaipur,Bangalore,26.9124,75.7873,12.9716,77.5946,1561.5360482517535,1.668316365768039,medium,3.66,0
Hyderabad,Chennai,17.385,78.4867,13.0827,80.2707,515.2416343776234,12.53968223452886,low,3.69,1
Hyderabad,Surat,17.385,78.4867,21.1702,72.8311,727.5456673720201,14.558597500397024,low,4.64,1
Pune,Ahmedabad,18.5204,73.8567,23.0225,72.5714,518.1260829397874,43.58588345036711,high,3.5,1
Jaipur,Kolkata,26.9124,75.7873,22.5726,88.3639,1357.7741901445263,44.81495586618231,low,6.68,1
Pune,Jaipur,18.5204,73.8567,26.9124,75.7873,953.8706763236075,40.918936819532405,high,3.55,1
Surat,Jaipur,21.1702,72.8311,26.9124,75.7873,705.4660945971135,24.293015570813264,medium,3.29,1
Surat,Chennai,21.1702,72.8311,13.0827,80.2707,1196.78744215252,11.016334556696204,medium,3.65,1
Mumbai,Ahmedabad,19.076,72.8777,23.0225,72.5714,439.97982267462703,12.419115535646199,medium,2.92,1
Ahmedabad,Mumbai,23.0225,72.5714,19.076,72.8777,439.97982267462703,49.8872502039422,low,5.68,1
Chennai,Surat,13.0827,80.2707,21.1702,72.8311,1196.78744215252,14.00445856540691,high,2.81,1
Delhi,Chennai,28.7041,77.1025,13.0827,80.2707,1767.651411147008,24.523692737850396,high,3.93,1
Hyderabad,Surat,17.385,78.4867,21.1702,72.8311,727.5456673720201,38.104818804903005,low,5.52,1
Surat,Ahmedabad,21.1702,72.8311,23.0225,72.5714,207.69677867075882,31.652060946619617,medium,3.23,1
Mumbai,Jaipur,19.076,72.8777,26.9124,75.7873,920.7423599427211,16.10692524208962,low,3.92,0
Hyderabad,Ahmedabad,17.385,78.4867,23.0225,72.5714,879.4982034294342,0.9277326635000219,medium,2.35,0
Kolkata,Hyderabad,22.5726,88.3639,17.385,78.4867,1181.8821002123357,47.03211089803124,low,6.91,1
Surat,Mumbai,21.1702,72.8311,19.076,72.8777,232.91522940116425,33.816936840260105,medium,2.89,1
Jaipur,Bangalore,26.9124,75.7873,12.9716,77.5946,1561.5360482517535,11.504646087685252,low,6.89,1
Hyderabad,Mumbai,17.385,78.4867,19.076,72.8777,621.4628500760243,12.168429315932539,low,4.18,1
Ahmedabad,Surat,23.0225,72.5714,21.1702,72.8311,207.69677867075882,17.017586573330163,low,3.02,1
Bangalore,Ahmedabad,12.9716,77.5946,23.0225,72.5714,1237.044697463011,44.365612570829356,medium,5.74,1
Mumbai,Pune,19.076,72.8777,18.5204,73.8567,120.15230196919705,39.28849849058579,medium,3.54,1
Pune,Bangalore,18.5204,73.8567,12.9716,77.5946,735.2269425849161,48.685825454090335,low,5.43,1
Delhi,Kolkata,28.7041,77.1025,22.5726,88.3639,1317.7536030396723,22.476364735013743,high,3.26,1
Hyderabad,Mumbai,17.385,78.4867,19.076,72.8777,621.4628500760243,24.745296387653386,low,4.01,1
Surat,Kolkata,21.1702,72.8311,22.5726,88.3639,1609.6773409097977,36.07490222018125,low,7.59,1
Bangalore,Kolkata,12.9716,77.5946,22.5726,88.3639,1560.6966232595826,13.3335981473181,low,6.96,1
Bangalore,Kolkata,12.9716,77.5946,22.5726,88.3639,1560.6966232595826,45.31432950715585,low,7.63,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,9.84262509112242,medium,3.34,0
Bangalore,Mumbai,12.9716,77.5946,19.076,72.8777,845.3183856559485,2.275828210546244,high,2.2,0
Ahmedabad,Kolkata,23.0225,72.5714,22.5726,88.3639,1618.8555906737163,18.570919142746675,low,7.32,1
Mumbai,Chennai,19.076,72.8777,13.0827,80.2707,1033.0985122877407,28.657394211624833,high,3.12,1
Ahmedabad,Surat,23.0225,72.5714,21.1702,72.8311,207.69677867075882,13.496895358818824,low,2.31,1
Jaipur,Chennai,26.9124,75.7873,13.0827,80.2707,1607.0991969543372,34.831886854081155,medium,5.07,1
Chennai,Surat,13.0827,80.2707,21.1702,72.8311,1196.78744215252,7.090192360302549,medium,4.17,1
Mumbai,Pune,19.076,72.8777,18.5204,73.8567,120.15230196919705,34.88108547566387,medium,2.98,1
Jaipur,Kolkata,26.9124,75.7873,22.5726,88.3639,1357.7741901445263,21.0470647366692,low,6.24,1
Jaipur,Kolkata,26.9124,75.7873,22.5726,88.3639,1357.7741901445263,25.12566310489126,medium,4.99,1
Bangalore,Surat,12.9716,77.5946,21.1702,72.8311,1042.544441001257,1.4780769164978649,medium,2.97,0
Chennai,Bangalore,13.0827,80.2707,12.9716,77.5946,290.1720249530612,23.33334110480976,medium,2.58,1
Jaipur,Chennai,26.9124,75.7873,13.0827,80.2707,1607.0991969543372,12.587542889741615,low,6.05,1
Ahmedabad,Mumbai,23.0225,72.5714,19.076,72.8777,439.97982267462703,41.410663289000674,low,5.24,1
Kolkata,Hyderabad,22.5726,88.3639,17.385,78.4867,1181.8821002123357,42.11695144309787,low,6.51,1
Bangalore,Surat,12.9716,77.5946,21.1702,72.8311,1042.544441001257,7.003819311648288,low,5.2,1
Jaipur,Bangalore,26.9124,75.7873,12.9716,77.5946,1561.5360482517535,39.779791118958315,low,7.49,1
Kolkata,Ahmedabad,22.5726,88.3639,23.0225,72.5714,1618.8555906737163,9.298250349135365,low,6.1,1
Ahmedabad,Mumbai,23.0225,72.5714,19.076,72.8777,439.97982267462703,8.747386571535204,low,2.53,0
Chennai,Jaipur,13.0827,80.2707,26.9124,75.7873,1607.0991969543372,33.04384909821479,low,8.05,1
Kolkata,Ahmedabad,22.5726,88.3639,23.0225,72.5714,1618.8555906737163,30.624865237094177,low,6.9,1
Bangalore,Chennai,12.9716,77.5946,13.0827,80.2707,290.1720249530612,6.096215925501544,low,1.75,0
Mumbai,Ahmedabad,19.076,72.8777,23.0225,72.5714,439.97982267462703,8.848980467477991,low,3.31,1
Ahmedabad,Surat,23.0225,72.5714,21.1702,72.8311,207.69677867075882,17.3805856223611,low,2.92,1
Jaipur,Chennai,26.9124,75.7873,13.0827,80.2707,1607.0991969543372,31.791173178295427,low,7.12,1
Jaipur,Bangalore,26.9124,75.7873,12.9716,77.5946,1561.5360482517535,25.206499303146376,high,4.37,1
Hyderabad,Pune,17.385,78.4867,18.5204,73.8567,505.75412147804053,47.200191067581784,high,4.69,1
Hyderabad,Pune,17.385,78.4867,18.5204,73.8567,505.75412147804053,33.89070028491079,medium,3.23,1
Bangalore,Chennai,12.9716,77.5946,13.0827,80.2707,290.1720249530612,31.334389538068482,high,3.35,1
Delhi,Hyderabad,28.7041,77.1025,17.385,78.4867,1266.5306032844753,30.950868828460855,low,6.55,1
Jaipur,Delhi,26.9124,75.7873,28.7041,77.1025,237.5325023947467,13.108656958971565,low,2.85,1
Delhi,Pune,28.7041,77.1025,18.5204,73.8567,1179.4824279187978,36.7800450858139,high,3.99,1
Jaipur,Ahmedabad,26.9124,75.7873,23.0225,72.5714,540.4679579970888,37.555676106878835,high,4.43,1
Hyderabad,Delhi,17.385,78.4867,28.7041,77.1025,1266.5306032844753,12.575820815883622,medium,4.54,1
Ahmedabad,Mumbai,23.0225,72.5714,19.076,72.8777,439.97982267462703,34.024254517022264,medium,3.29,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,25.31209338514807,high,3.45,1
Bangalore,Mumbai,12.9716,77.5946,19.076,72.8777,845.3183856559485,2.7689163076937082,high,2.79,1
Pune,Kolkata,18.5204,73.8567,22.5726,88.3639,1575.3760535945123,47.84436416781017,medium,6.24,1
Jaipur,Ahmedabad,26.9124,75.7873,23.0225,72.5714,540.4679579970888,4.676036948198205,medium,2.47,1
Ahmedabad,Hyderabad,23.0225,72.5714,17.385,78.4867,879.4982034294342,47.31510768979634,medium,4.5,1
Ahmedabad,Surat,23.0225,72.5714,21.1702,72.8311,207.69677867075882,49.796968977313426,low,4.67,1
Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873,237.5325023947467,38.099380522701864,medium,2.95,1
Kolkata,Pune,22.5726,88.3639,18.5204,73.8567,1575.3760535945123,3.730874017573257,high,3.39,1
Ahmedabad,Chennai,23.0225,72.5714,13.0827,80.2707,1371.808916123536,11.738080813983936,medium,4.67,1
Chennai,Hyderabad,13.0827,80.2707,17.385,78.4867,515.2416343776234,11.91059116473573,high,2.52,1
Hyderabad,Kolkata,17.385,78.4867,22.5726,88.3639,1181.8821002123357,35.43824165960167,low,6.12,1
Kolkata,Bangalore,22.5726,88.3639,12.9716,77.5946,1560.6966232595826,5.648754367076951,low,5.13,0
Jaipur,Hyderabad,26.9124,75.7873,17.385,78.4867,1095.1466068235527,6.0290140217767885,low,4.82,1
Mumbai,Hyderabad,19.076,72.8777,17.385,78.4867,621.4628500760243,29.210101378348266,high,3.17,1
Mumbai,Jaipur,19.076,72.8777,26.9124,75.7873,920.7423599427211,43.44309649665407,low,6.67,1
Ahmedabad,Kolkata,23.0225,72.5714,22.5726,88.3639,1618.8555906737163,46.239702178157444,high,4.88,1
Bangalore,Ahmedabad,12.9716,77.5946,23.0225,72.5714,1237.044697463011,3.864183899779486,low,4.45,0
Mumbai,Chennai,19.076,72.8777,13.0827,80.2707,1033.0985122877407,34.87656028760436,low,6.22,1
Jaipur,Surat,26.9124,75.7873,21.1702,72.8311,705.4660945971135,19.78663775054568,low,3.95,1
Jaipur,Hyderabad,26.9124,75.7873,17.385,78.4867,1095.1466068235527,23.23855040650511,low,5.58,1
Ahmedabad,Jaipur,23.0225,72.5714,26.9124,75.7873,540.4679579970888,13.071498156427708,low,2.7,0
Pune,Mumbai,18.5204,73.8567,19.076,72.8777,120.15230196919705,20.619215371522095,medium,2.14,1
Bangalore,Kolkata,12.9716,77.5946,22.5726,88.3639,1560.6966232595826,47.49501567326701,medium,6.4,1
Delhi,Pune,28.7041,77.1025,18.5204,73.8567,1179.4824279187978,43.84540814769706,medium,4.91,1
Surat,Mumbai,21.1702,72.8311,19.076,72.8777,232.91522940116425,38.90235395838776,low,4.57,1
Ahmedabad,Jaipur,23.0225,72.5714,26.9124,75.7873,540.4679579970888,48.4987284509487,high,4.75,1
Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873,237.5325023947467,20.799493166649494,low,2.28,1
Chennai,Mumbai,13.0827,80.2707,19.076,72.8777,1033.0985122877407,26.76387912397021,medium,4.93,1
Kolkata,Ahmedabad,22.5726,88.3639,23.0225,72.5714,1618.8555906737163,36.333430119185216,medium,5.58,1
Ahmedabad,Jaipur,23.0225,72.5714,26.9124,75.7873,540.4679579970888,6.545054816059599,high,2.3,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,37.87425669539421,low,6.0,1
Kolkata,Delhi,22.5726,88.3639,28.7041,77.1025,1317.7536030396723,23.862913769771808,high,3.53,1
Mumbai,Kolkata,19.076,72.8777,22.5726,88.3639,1654.839116799172,48.40189089544717,low,8.7,1
Mumbai,Surat,19.076,72.8777,21.1702,72.8311,232.91522940116425,37.78134905811359,medium,3.83,1
Bangalore,Surat,12.9716,77.5946,21.1702,72.8311,1042.544441001257,6.904936631779811,low,4.27,0
Delhi,Bangalore,28.7041,77.1025,12.9716,77.5946,1750.1147624132104,19.672977850476645,low,7.7,1
Hyderabad,Jaipur,17.385,78.4867,26.9124,75.7873,1095.1466068235527,25.74807550907456,medium,4.21,1
Kolkata,Bangalore,22.5726,88.3639,12.9716,77.5946,1560.6966232595826,34.91232938752382,medium,5.54,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,12.98639497611802,low,5.82,1
Ahmedabad,Delhi,23.0225,72.5714,28.7041,77.1025,777.4082807469657,16.50470535334666,medium,2.98,1
Bangalore,Jaipur,12.9716,77.5946,26.9124,75.7873,1561.5360482517535,23.059946033280244,medium,4.86,1
Surat,Hyderabad,21.1702,72.8311,17.385,78.4867,727.5456673720201,9.175816211517326,low,4.32,1
Bangalore,Delhi,12.9716,77.5946,28.7041,77.1025,1750.1147624132104,30.136576237493916,low,8.1,1
Delhi,Kolkata,28.7041,77.1025,22.5726,88.3639,1317.7536030396723,4.526256434477075,low,5.08,0
Jaipur,Delhi,26.9124,75.7873,28.7041,77.1025,237.5325023947467,6.52454507515223,low,1.97,0
Jaipur,Pune,26.9124,75.7873,18.5204,73.8567,953.8706763236075,24.10915516340903,medium,4.06,1
Mumbai,Ahmedabad,19.076,72.8777,23.0225,72.5714,439.97982267462703,40.32944386167376,medium,3.53,1
Surat,Chennai,21.1702,72.8311,13.0827,80.2707,1196.78744215252,11.882215002558475,medium,3.89,1
Delhi,Pune,28.7041,77.1025,18.5204,73.8567,1179.4824279187978,6.742534736515164,medium,4.07,1
Delhi,Kolkata,28.7041,77.1025,22.5726,88.3639,1317.7536030396723,26.677601596105657,low,5.9,1
Ahmedabad,Surat,23.0225,72.5714,21.1702,72.8311,207.69677867075882,16.171750362600598,low,2.38,1
Pune,Mumbai,18.5204,73.8567,19.076,72.8777,120.15230196919705,17.212050527485186,low,2.23,1
Pune,Delhi,18.5204,73.8567,28.7041,77.1025,1179.4824279187978,4.437322375562442,medium,3.57,1
Surat,Pune,21.1702,72.8311,18.5204,73.8567,313.5586084722392,21.639811356861003,low,2.88,1
Chennai,Hyderabad,13.0827,80.2707,17.385,78.4867,515.2416343776234,32.3312703424469,medium,3.51,1
Chennai,Ahmedabad,13.0827,80.2707,23.0225,72.5714,1371.808916123536,46.69122200561774,low,6.98,1
Chennai,Surat,13.0827,80.2707,21.1702,72.8311,1196.78744215252,24.441709060356022,high,3.1,1
Surat,Kolkata,21.1702,72.8311,22.5726,88.3639,1609.6773409097977,42.131470361379264,low,7.11,1
Ahmedabad,Hyderabad,23.0225,72.5714,17.385,78.4867,879.4982034294342,49.863051184942876,high,4.77,1
Hyderabad,Kolkata,17.385,78.4867,22.5726,88.3639,1181.8821002123357,48.75585143096261,low,7.31,1
Pune,Delhi,18.5204,73.8567,28.7041,77.1025,1179.4824279187978,27.882468361395098,medium,4.28,1
Ahmedabad,Kolkata,23.0225,72.5714,22.5726,88.3639,1618.8555906737163,48.402903918561286,medium,5.92,1
Hyderabad,Mumbai,17.385,78.4867,19.076,72.8777,621.4628500760243,26.53901715673772,medium,4.01,1
Chennai,Ahmedabad,13.0827,80.2707,23.0225,72.5714,1371.808916123536,25.354587422331416,high,3.68,1
Bangalore,Mumbai,12.9716,77.5946,19.076,72.8777,845.3183856559485,18.524601027343817,low,4.6,1
Jaipur,Delhi,26.9124,75.7873,28.7041,77.1025,237.5325023947467,16.185456864238677,high,1.94,1
Ahmedabad,Jaipur,23.0225,72.5714,26.9124,75.7873,540.4679579970888,38.03537020849536,medium,4.01,1
Kolkata,Bangalore,22.5726,88.3639,12.9716,77.5946,1560.6966232595826,17.508526500495467,high,4.25,1
Delhi,Chennai,28.7041,77.1025,13.0827,80.2707,1767.651411147008,36.57028701266185,high,4.44,1
Bangalore,Mumbai,12.9716,77.5946,19.076,72.8777,845.3183856559485,37.081920399573946,medium,5.03,1
Surat,Jaipur,21.1702,72.8311,26.9124,75.7873,705.4660945971135,37.550046045789145,medium,4.79,1
Ahmedabad,Chennai,23.0225,72.5714,13.0827,80.2707,1371.808916123536,11.861018128643488,medium,4.74,1
Pune,Jaipur,18.5204,73.8567,26.9124,75.7873,953.8706763236075,34.180804964514905,low,5.93,1
Bangalore,Kolkata,12.9716,77.5946,22.5726,88.3639,1560.6966232595826,27.03507498954019,low,7.05,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,19.634957299054946,medium,3.5,1
Surat,Bangalore,21.1702,72.8311,12.9716,77.5946,1042.544441001257,27.188180599609105,low,5.25,1
Bangalore,Pune,12.9716,77.5946,18.5204,73.8567,735.2269425849161,34.71650860942659,low,5.6,1
Mumbai,Ahmedabad,19.076,72.8777,23.0225,72.5714,439.97982267462703,37.098899465838365,medium,4.58,1
Pune,Mumbai,18.5204,73.8567,19.076,72.8777,120.15230196919705,35.378325016048606,medium,2.68,1
Hyderabad,Kolkata,17.385,78.4867,22.5726,88.3639,1181.8821002123357,35.731797702958346,low,6.7,1
Chennai,Kolkata,13.0827,80.2707,22.5726,88.3639,1358.3607154263375,26.870419439081278,low,6.3,1
Hyderabad,Pune,17.385,78.4867,18.5204,73.8567,505.75412147804053,25.164188538380255,medium,3.33,1
Hyderabad,Delhi,17.385,78.4867,28.7041,77.1025,1266.5306032844753,0.7089333086704214,medium,3.49,0
Jaipur,Ahmedabad,26.9124,75.7873,23.0225,72.5714,540.4679579970888,41.35726150767301,high,3.64,1
Chennai,Pune,13.0827,80.2707,18.5204,73.8567,914.3646912012375,21.237483434782096,low,5.02,1
Jaipur,Surat,26.9124,75.7873,21.1702,72.8311,705.4660945971135,25.343845076334855,medium,2.97,1
Hyderabad,Ahmedabad,17.385,78.4867,23.0225,72.5714,879.4982034294342,39.52522339249193,low,5.9,1
Mumbai,Jaipur,19.076,72.8777,26.9124,75.7873,920.7423599427211,21.26412049798906,medium,4.5,1
Chennai,Surat,13.0827,80.2707,21.1702,72.8311,1196.78744215252,6.228258014102116,low,4.38,0
Hyderabad,Kolkata,17.385,78.4867,22.5726,88.3639,1181.8821002123357,41.890790371224355,low,6.34,1
Bangalore,Pune,12.9716,77.5946,18.5204,73.8567,735.2269425849161,30.43393025033351,low,5.18,1
Jaipur,Hyderabad,26.9124,75.7873,17.385,78.4867,1095.1466068235527,39.410715446853175,medium,4.47,1
Hyderabad,Jaipur,17.385,78.4867,26.9124,75.7873,1095.1466068235527,43.189555216586555,high,4.5,1
Delhi,Mumbai,28.7041,77.1025,19.076,72.8777,1153.2412912502036,29.394704384414705,low,6.54,1
Chennai,Pune,13.0827,80.2707,18.5204,73.8567,914.3646912012375,28.923834509168206,low,4.54,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,39.046735806549776,low,5.99,1
Delhi,Chennai,28.7041,77.1025,13.0827,80.2707,1767.651411147008,25.80716675209995,high,4.32,1
Hyderabad,Kolkata,17.385,78.4867,22.5726,88.3639,1181.8821002123357,43.04553769274762,medium,4.9,1
Kolkata,Mumbai,22.5726,88.3639,19.076,72.8777,1654.839116799172,15.565852620803684,low,6.52,1
Surat,Bangalore,21.1702,72.8311,12.9716,77.5946,1042.544441001257,17.534411252561718,low,5.21,1
Surat,Bangalore,21.1702,72.8311,12.9716,77.5946,1042.544441001257,3.378861107474783,medium,3.09,0
Delhi,Kolkata,28.7041,77.1025,22.5726,88.3639,1317.7536030396723,22.094061072217585,low,6.1,1
Hyderabad,Mumbai,17.385,78.4867,19.076,72.8777,621.4628500760243,16.78470428439306,low,4.2,1
Jaipur,Bangalore,26.9124,75.7873,12.9716,77.5946,1561.5360482517535,32.23557720762689,low,6.49,1
Delhi,Surat,28.7041,77.1025,21.1702,72.8311,941.7119249418649,32.980304701316555,low,5.1,1
Surat,Kolkata,21.1702,72.8311,22.5726,88.3639,1609.6773409097977,33.627447905576545,low,6.81,1
Ahmedabad,Bangalore,23.0225,72.5714,12.9716,77.5946,1237.044697463011,44.3842780774238,medium,5.86,1
Bangalore,Pune,12.9716,77.5946,18.5204,73.8567,735.2269425849161,36.14111989959739,high,4.32,1
Hyderabad,Ahmedabad,17.385,78.4867,23.0225,72.5714,879.4982034294342,33.43744831487525,low,5.05,1
Delhi,Surat,28.7041,77.1025,21.1702,72.8311,941.7119249418649,31.69871466805693,medium,4.93,1
Bangalore,Ahmedabad,12.9716,77.5946,23.0225,72.5714,1237.044697463011,32.181985624351235,medium,5.54,1
Ahmedabad,Hyderabad,23.0225,72.5714,17.385,78.4867,879.4982034294342,16.859706271776773,high,2.8,1
Kolkata,Hyderabad,22.5726,88.3639,17.385,78.4867,1181.8821002123357,31.24503050167179,low,6.17,1
Delhi,Chennai,28.7041,77.1025,13.0827,80.2707,1767.651411147008,14.793841401141691,high,4.23,1
Surat,Mumbai,21.1702,72.8311,19.076,72.8777,232.91522940116425,43.43655199730585,low,4.66,1
Mumbai,Bangalore,19.076,72.8777,12.9716,77.5946,845.3183856559485,1.2212184851738583,low,3.72,0
Pune,Kolkata,18.5204,73.8567,22.5726,88.3639,1575.3760535945123,10.979353063954916,medium,4.31,1
Jaipur,Delhi,26.9124,75.7873,28.7041,77.1025,237.5325023947467,13.68813559331651,low,3.22,1
Ahmedabad,Hyderabad,23.0225,72.5714,17.385,78.4867,879.4982034294342,24.954728600199186,low,4.8,1
Chennai,Surat,13.0827,80.2707,21.1702,72.8311,1196.78744215252,5.41827863342085,low,4.49,0
Chennai,Pune,13.0827,80.2707,18.5204,73.8567,914.3646912012375,12.611459962023728,medium,3.4,1
Jaipur,Mumbai,26.9124,75.7873,19.076,72.8777,920.7423599427211,20.99664919211445,low,4.89,1
Delhi,Kolkata,28.7041,77.1025,22.5726,88.3639,1317.7536030396723,36.927877459675884,low,6.91,1
Jaipur,Ahmedabad,26.9124,75.7873,23.0225,72.5714,540.4679579970888,41.87024163608117,low,5.47,1
Kolkata,Pune,22.5726,88.3639,18.5204,73.8567,1575.3760535945123,28.36359155081517,low,7.29,1
Chennai,Kolkata,13.0827,80.2707,22.5726,88.3639,1358.3607154263375,36.65534765079149,low,6.15,1
Hyderabad,Bangalore,17.385,78.4867,12.9716,77.5946,499.9932408970139,29.794388741942715,low,4.12,1
Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873,237.5325023947467,38.568518966916514,low,3.2,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,24.825016678689305,medium,4.32,1
Kolkata,Bangalore,22.5726,88.3639,12.9716,77.5946,1560.6966232595826,40.973205651942564,medium,6.19,1
Chennai,Delhi,13.0827,80.2707,28.7041,77.1025,1767.651411147008,5.244377926085869,low,6.88,1
Mumbai,Delhi,19.076,72.8777,28.7041,77.1025,1153.2412912502036,47.51684395565804,low,6.36,1
Surat,Bangalore,21.1702,72.8311,12.9716,77.5946,1042.544441001257,36.6380218318371,high,4.41,1
Chennai,Kolkata,13.0827,80.2707,22.5726,88.3639,1358.3607154263375,49.03078232898141,high,5.34,1
Jaipur,Pune,26.9124,75.7873,18.5204,73.8567,953.8706763236075,47.208561050362,low,6.57,1
Kolkata,Mumbai,22.5726,88.3639,19.076,72.8777,1654.839116799172,9.110709721853942,medium,5.09,1
Ahmedabad,Surat,23.0225,72.5714,21.1702,72.8311,207.69677867075882,14.937715467890282,high,2.92,1
Kolkata,Delhi,22.5726,88.3639,28.7041,77.1025,1317.7536030396723,37.278720951199,low,6.71,1
Jaipur,Kolkata,26.9124,75.7873,22.5726,88.3639,1357.7741901445263,1.9466809723030818,medium,3.21,0
Delhi,Hyderabad,28.7041,77.1025,17.385,78.4867,1266.5306032844753,34.84480991631917,low,6.85,1
Kolkata,Pune,22.5726,88.3639,18.5204,73.8567,1575.3760535945123,27.020615489529327,medium,4.95,1
Delhi,Mumbai,28.7041,77.1025,19.076,72.8777,1153.2412912502036,44.310289636985736,medium,4.99,1
Kolkata,Bangalore,22.5726,88.3639,12.9716,77.5946,1560.6966232595826,43.5179338076564,low,8.32,1
Delhi,Hyderabad,28.7041,77.1025,17.385,78.4867,1266.5306032844753,3.5944823167988043,low,4.28,0
Mumbai,Chennai,19.076,72.8777,13.0827,80.2707,1033.0985122877407,24.041088210139588,medium,3.83,1
Pune,Jaipur,18.5204,73.8567,26.9124,75.7873,953.8706763236075,16.884886145038262,medium,4.03,1
Mumbai,Hyderabad,19.076,72.8777,17.385,78.4867,621.4628500760243,23.418807250228863,low,4.68,1
Delhi,Chennai,28.7041,77.1025,13.0827,80.2707,1767.651411147008,2.200450162854458,low,7.0,1
Pune,Mumbai,18.5204,73.8567,19.076,72.8777,120.15230196919705,19.64234401296377,low,3.25,1
Ahmedabad,Chennai,23.0225,72.5714,13.0827,80.2707,1371.808916123536,4.561609015381749,low,5.86,1
Surat,Delhi,21.1702,72.8311,28.7041,77.1025,941.7119249418649,8.434993909994553,high,2.25,0
Hyderabad,Kolkata,17.385,78.4867,22.5726,88.3639,1181.8821002123357,30.42606606445507,medium,4.34,1
Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873,237.5325023947467,11.10226183260175,low,2.88,1
Chennai,Ahmedabad,13.0827,80.2707,23.0225,72.5714,1371.808916123536,2.986349560513479,high,3.4,1
Bangalore,Ahmedabad,12.9716,77.5946,23.0225,72.5714,1237.044697463011,49.74590035005712,low,7.02,1
Delhi,Bangalore,28.7041,77.1025,12.9716,77.5946,1750.1147624132104,34.831428840884236,low,8.33,1
Chennai,Pune,13.0827,80.2707,18.5204,73.8567,914.3646912012375,37.418793044202204,low,6.25,1
Ahmedabad,Delhi,23.0225,72.5714,28.7041,77.1025,777.4082807469657,22.925861678907996,low,4.22,1
Pune,Bangalore,18.5204,73.8567,12.9716,77.5946,735.2269425849161,47.78700976166469,high,4.87,1
Surat,Jaipur,21.1702,72.8311,26.9124,75.7873,705.4660945971135,27.58778279339605,low,4.45,1
Chennai,Pune,13.0827,80.2707,18.5204,73.8567,914.3646912012375,34.81614321320254,low,5.58,1
Ahmedabad,Chennai,23.0225,72.5714,13.0827,80.2707,1371.808916123536,49.574619223737905,low,8.11,1
Bangalore,Hyderabad,12.9716,77.5946,17.385,78.4867,499.9932408970139,17.455679474319435,medium,3.05,1
Mumbai,Kolkata,19.076,72.8777,22.5726,88.3639,1654.839116799172,26.110889577802705,high,3.9,1
Pune,Jaipur,18.5204,73.8567,26.9124,75.7873,953.8706763236075,46.51150849043596,low,6.52,1
